id,name,symbol
bitcoin,Bitcoin,BTC
ethereum,Ethereum,ETH
ripple,Ripple,XRP
bitcoin-cash,Bitcoin Cash,BCH
eos,EOS,EOS
litecoin,Litecoin,LTC
cardano,Cardano,ADA
stellar,Stellar,XLM
iota,IOTA,MIOTA
tron,TRON,TRX
neo,NEO,NEO
monero,Monero,XMR
dash,Dash,DASH
tether,Tether,USDT
nem,NEM,XEM
vechain,VeChain,VEN
binance-coin,Binance Coin,BNB
ethereum-classic,Ethereum Classic,ETC
qtum,Qtum,QTUM
ontology,Ontology,ONT
omisego,OmiseGO,OMG
bytecoin-bcn,Bytecoin,BCN
icon,ICON,ICX
lisk,Lisk,LSK
zcash,Zcash,ZEC
zilliqa,Zilliqa,ZIL
aeternity,Aeternity,AE
bitcoin-gold,Bitcoin Gold,BTG
decred,Decred,DCR
0x,0x,ZRX
bytom,Bytom,BTM
steem,Steem,STEEM
verge,Verge,XVG
bitshares,BitShares,BTS
siacoin,Siacoin,SC
nano,Nano,NANO
rchain,RChain,RHOC
golem-network-tokens,Golem,GNT
maker,Maker,MKR
wanchain,Wanchain,WAN
bitcoin-private,Bitcoin Private,BTCP
populous,Populous,PPT
bitcoin-diamond,Bitcoin Diamond,BCD
stratis,Stratis,STRAT
augur,Augur,REP
waves,Waves,WAVES
dogecoin,Dogecoin,DOGE
iostoken,IOST,IOST
digixdao,DigixDAO,DGD
digibyte,DigiByte,DGB
aion,Aion,AION
waltonchain,Waltonchain,WTC
status,Status,SNT
hshare,Hshare,HSR
mixin,Mixin,XIN
nebulas-token,Nebulas,NAS
waykichain,WaykiChain,WICC
loopring,Loopring,LRC
basic-attention-token,Basic Attention Token,BAT
huobi-token,Huobi Token,HT
komodo,Komodo,KMD
aelf,aelf,ELF
ark,Ark,ARK
ardor,Ardor,ARDR
cybermiles,CyberMiles,CMT
maidsafecoin,MaidSafeCoin,MAID
gxchain,GXChain,GXS
pivx,PIVX,PIVX
loom-network,Loom Network,LOOM
bancor,Bancor,BNT
dentacoin,Dentacoin,DCN
elastos,Elastos,ELA
gas,Gas,GAS
monacoin,MonaCoin,MONA
cryptonex,Cryptonex,CNX
skycoin,Skycoin,SKY
kyber-network,Kyber Network,KNC
